"招聘单位","招聘岗位","薪资区间","工作地点","工作经验","学历要求","岗位属性","类别","发布时间","职位诱惑","职位描述","工作地址","爬取时间"
"ULSeeM&S","销售经理(深圳)","10k-20k","深圳 ","经验3-5年","本科及以上","全职","销售 | 团购 | 商务拓展","09:58  ","国际化业务,前沿科技,大牛团队,人工智能","职位描述： 1.负责公司在各领域产品及解决方案的销售工作；2.了解行业内技术产品发展及竞争对手动态； 3.制定异业以及渠道的合作方案，并进行商务洽谈达成合作；4.负责拓展建立行业销售渠道，制定渠道政策并予以实施； 5.负责代表企业与行业渠道客户谈判、签订合作协议； 任职资格： 1. 统招本科以上学历，3年以上客户管理或商务拓展经验（其中1年以上人脸识别或汽车辅助驾驶行业销售经历）； 2. 具有丰富的优质渠道或行业客户资源优先； 3. 较强的商务拓展能力和客户关系维护能力；4．具备较强的沟通及团队合作能力。","深圳-福田区-香蜜湖-车公庙NEOA栋44楼Regus","2018-08-13 19:38:07"
"第六镜Glasssix","计算机视觉算法工程师（人...","2k-3k","成都 ","经验应届毕业生","本科及以上","实习","旅游 | 机器学习 | 深度学习 | 算法","08:46  ","周末双休","岗位描述：","成都-成华区-新鸿路-成都市成华区双林路521号中关村领创空间312","2018-08-13 19:38:10"
"轻趣研发部","图像/视频算法资深工程师","15k-25k","长沙 ","经验3-5年","硕士及以上","全职","视频 | 机器学习 | 深度学习 | 算法","2018-07-30  ","扁平化管理","应用先进的统计建模，机器学习，深度学习方法建立数据模型解决实际图像问题， 如图像检测，物体/人脸识别，图像分割， 图像生成，图像/视频内容理解等。","长沙-雨花区-香樟路融科东南海南海3栋5楼","2018-08-13 19:38:13"
"北京博思廷测试部","算法测试工程师","6k-8k","北京 ","经验3-5年","本科及以上","全职","地图 | 视频 | 测试","2018-07-26  ","五险一金,交通通讯补,绩效奖金,年终奖金","岗位职责：","北京-海淀区-西二旗-中关村软件园3号楼B座1328室","2018-08-13 19:38:16"
"七牛云人工智能实验室","资深人脸算法工程师","25k-40k","杭州 ","经验3-5年","本科及以上","全职","移动端 | HTML","10:57  ","六险一金,免费健身,带薪病假,超长健身","工作内容：","杭州-上城区-武林广场","2018-08-13 19:38:18"
"华慧视科技研发部","算法工程师","10k-20k","北京 ","经验应届毕业生","硕士及以上","全职","深度学习","09:02  ","福利待遇：五险一金 双休 带薪年假","岗位描述","北京-海淀区-清华大学-双清路双清大厦2号楼504","2018-08-13 19:38:22"
"北京百度网讯科技有限公司增值维护","增值运营","6k-12k","深圳 ","经验1-3年","大专及以上","全职","移动互联网 | SEM | SEO | APP推广 | 运营","2018-08-09  ","百度直营公司","百度是卓越的AI人工智能，无人驾驶Apollo，人脸识别，语音识别、中文搜索引擎的公司使命：用科技让复杂的世界更简单价值观：简单可依赖","深圳-龙华新区--锦尚商业楼3a-02","2018-08-13 19:38:25"
"逗号智能零售AI研究室","AI主管","50k-80k","广州 ","经验3-5年","本科及以上","全职","智能硬件 | 人工智能 | 机器学习 | 深度学习 | 算法","13:35  ","周末双休,五险一金,餐饮补贴,地铁上盖","岗位职责：1、从事深度学习领域前沿算法的研发，技术驱动，探索人工智能的创新应用；2、设计开发人工智能零售店图像识别解决方案；3、构建智能零售的人工智能平台，为零售店赋予更多智能服务的能力。岗位要求：1、计算机、数理统计类专业背景；2、对以下至少一个领域有深入研究的工作经验： 深度学习（图像识别、人脸识别）、自然语言处理（知识表示及推理、问答系统）；3、熟悉OpenCV、Hadoop、Spark、Caffe、Tensorflow等开源软件工具，有实际开发经验者优先；4、熟悉Python 、C++和Java等开发语言；有3D人脸识别或自然语言处理等经验者优先；5、学习能力强、善于沟通、对技术创新充满激情。6、有三年以上的团队管理经验。 ","广州-天河区-珠江新城-广州市天河区华夏路16号4002房","2018-08-13 19:38:27"
"便利蜂技术部","深度学习算法工程师","25k-50k","北京 ","经验3-5年","硕士及以上","全职","机器学习 | 深度学习 | 图像处理 | 模式识别","3天前  ","优厚福利,落地场景,核心团队","岗位职责：","北京-朝阳区-大山子-酒仙路10号B20中央大厦4层","2018-08-13 19:38:30"
"缤果盒子创新中心","深度学习软件工程师","15k-30k","北京 ","经验1-3年","硕士及以上","全职","深度学习","16:14  ","弹性工作,股票期权,精英团队,技术驱动","岗位职责:1、负责深度学习平台研发；2、研发人脸识别、物品识别、检测与跟踪、行人跟踪与统计、动作识别等功能产品；3、保证以上产品可以在现有平台上正常运转。","北京-朝阳区-朝阳区宝能中心B座14层","2018-08-13 19:38:34"
