"招聘单位","招聘岗位","薪资区间","工作地点","工作经验","学历要求","岗位属性","类别","发布时间","职位诱惑","职位描述","工作地址","爬取时间"
"康夫子技术部","算法工程师","20k-30k","北京 ","经验3-5年","本科及以上","全职","医疗健康 | NLP | 算法 | 数据挖掘","16:24  ","技术大牛多,公司氛围好,15.5薪,七险一金","岗位要求：","北京-西城区-西直门-成铭大厦C座1603","2018-08-13 23:41:20"
"卡莱博尔开发中心","算法工程师","10k-20k","成都 ","经验3-5年","本科及以上","全职","大数据 | 算法","09:36  ","平台好,薪水高,五险一金,周末双休","岗位职责：","成都市市市-武侯区-中和-天府软件园E区1栋10楼","2018-08-13 23:41:24"
"Club Factory大数据&中台","算法专家","30k-50k","杭州 ","经验3-5年","本科及以上","全职","电商 | NLP | 建模 | 算法 | 数据挖掘","09:31  ","公司前景好,全球出口","职位描述：","杭州-西湖区-古荡-文三路478号华星时代广场A座","2018-08-13 23:41:28"
"乐视AI平台部","算法工程师","15k-30k","北京 ","经验3-5年","本科及以上","全职","NLP | 算法 | 数据挖掘","3天前  ","六险一金,带薪年假","职位描述：","北京-朝阳区-朝阳公园-北京市朝阳区姚家园路105号乐视大厦✉","2018-08-13 23:41:32"
"有米科技MCG","算法工程师","20k-40k","广州 ","经验1-3年","硕士及以上","全职","机器学习 | 图像处理 | 移动互联网","2018-08-09  ","六险一金,员工福利多,工作氛围好,扁平化管理","工作职责：","广州-番禺区-大学城-大学城青蓝街26号有米科技大厦15楼","2018-08-13 23:41:35"
"美团点评美团外卖配送事业群","数据挖掘/机器学习/算法/...","40k-70k","北京 ","经验5-10年","本科及以上","全职","NLP | 算法 | 数据挖掘","2018-08-08  ","重点业务,获奖团队,带团队机会,发展空间大","美团核心算法团队，共分为4个JD，如下供参考，欢迎大牛加入~","北京-朝阳区-望京-望京科创大厦","2018-08-13 23:41:49"
"新浪微博微博机器学习研发部","机器学习研发部-算法工程师","30k-60k","北京 ","经验1-3年","硕士及以上","全职","视频 | 人工智能 | 机器学习 | 深度学习 | 算法","2018-07-26  ","成长发展,职位诱惑,薪资待遇,免费班车","【职位描述】","北京-海淀区-马连洼-西北旺东路10号院西区8号楼新浪总部大厦","2018-08-13 23:41:52"
"掌阅数据中心","算法专家","30k-50k","北京 ","经验3-5年","本科及以上","全职","大数据 | 机器学习 | 推荐 | NLP | 算法","16:14  ","上市公司,丰富福利,数据驱动,免费旅游","职位描述：","北京-朝阳区-四惠-四惠东通惠河南岸四惠大厦2层2029E","2018-08-13 23:41:56"
"云端光科研发","算法（拉曼光谱）","13k-25k","北京 ","经验1-3年","本科及以上","全职","机器学习 | 算法 | 人工智能 | 深度学习","10:21  ","大牛多,期权股权,五险一金","希望您是计算机、信息、光电、电子工程、数学、统计学类专业的才子！","北京-海淀区-魏公村-西三环北路甲2号院","2018-08-13 23:41:59"
"深海游戏海外广告平台","算法工程师","20k-40k","广州 ","经验3-5年","大专及以上","全职","广告营销 | 算法 | 数据挖掘","10:04  ","五险一金,免费三餐,周末双休,丰厚奖金","岗位职责：","广州-天河区-黄埔大道中309号羊城创意产业园3-08栋","2018-08-13 23:42:02"
"航天精一研究院","算法工程师","10k-15k","广州 ","经验1-3年","本科及以上","全职","深度学习 | 语音识别 | 数据挖掘 | 算法","08:55  ","知识图谱构,Neo4j,机器学习","【岗位职责】","广州-天河区-员村-科韵路建工路9号502-518","2018-08-13 23:42:06"
